file,type,id,display name,meta id,annotation,annotation label,match score,existing,UPDATE ANNOTATION
uploaded_model.xml,species,Z,,metaid_0000018,CHEBI:16586,6-aminohexanoic acid,1.0,0,add
uploaded_model.xml,species,Z,,metaid_0000018,CHEBI:51097,benzyloxycarbonyl group,1.0,0,ignore
uploaded_model.xml,species,Z,,metaid_0000018,CHEBI:29108,calcium(2+),0.0,1,delete
uploaded_model.xml,species,Y,,metaid_0000019,CHEBI:17895,L-tyrosine,1.0,0,ignore
uploaded_model.xml,species,Y,,metaid_0000019,CHEBI:18186,tyrosine,1.0,0,ignore
uploaded_model.xml,species,Y,,metaid_0000019,CHEBI:33331,yttrium atom,1.0,0,ignore
uploaded_model.xml,species,Y,,metaid_0000019,CHEBI:46858,L-tyrosine residue,1.0,0,ignore
uploaded_model.xml,species,Y,,metaid_0000019,CHEBI:60989,Tyr-Tyr,1.0,0,ignore
uploaded_model.xml,species,Y,,metaid_0000019,CHEBI:29108,calcium(2+),0.124,1,delete
uploaded_model.xml,reaction,R0,Ca influx,metaid_0000020,RHEA:10284,"leucine 2,3-aminomutase activity",1.0,0,ignore
uploaded_model.xml,reaction,R0,Ca influx,metaid_0000020,RHEA:11060,isoleucine-tRNA ligase activity,1.0,0,ignore
uploaded_model.xml,reaction,R0,Ca influx,metaid_0000020,RHEA:11196,nicotinate-nucleotide-dimethylbenzimidazole phosphoribosyltransferase activity,1.0,0,ignore
uploaded_model.xml,reaction,R0,Ca influx,metaid_0000020,RHEA:11468,valine-3-methyl-2-oxovalerate transaminase activity,1.0,0,ignore
uploaded_model.xml,reaction,R0,Ca influx,metaid_0000020,RHEA:11688,leucine-tRNA ligase activity,1.0,0,ignore
uploaded_model.xml,reaction,R0,Ca influx,metaid_0000020,RHEA:11992,L-pipecolate oxidase activity,1.0,0,ignore
uploaded_model.xml,reaction,R0,Ca influx,metaid_0000020,RHEA:12220,leucine dehydrogenase activity,1.0,0,ignore
uploaded_model.xml,reaction,R0,Ca influx,metaid_0000020,RHEA:12236,nicotinate dehydrogenase activity,1.0,0,ignore
uploaded_model.xml,reaction,R0,Ca influx,metaid_0000020,RHEA:12408,lysine 6-dehydrogenase activity,1.0,0,ignore
uploaded_model.xml,reaction,R0,Ca influx,metaid_0000020,RHEA:12524,delta1-piperideine-2-carboxylate reductase activity,1.0,0,ignore
uploaded_model.xml,reaction,R0,Ca influx,metaid_0000020,RHEA:14545,nicotinamidase activity,1.0,0,ignore
uploaded_model.xml,reaction,R0,Ca influx,metaid_0000020,RHEA:16173,(S)-norcoclaurine synthase activity,1.0,0,ignore
uploaded_model.xml,reaction,R0,Ca influx,metaid_0000020,RHEA:16237,peptidyl-prolyl cis-trans isomerase activity,1.0,0,ignore
uploaded_model.xml,reaction,R0,Ca influx,metaid_0000020,RHEA:17273,4-hydroxyphenylacetaldehyde dehydrogenase activity,1.0,0,ignore
uploaded_model.xml,reaction,R0,Ca influx,metaid_0000020,RHEA:18101,cis-dihydroethylcatechol dehydrogenase activity,1.0,0,ignore
uploaded_model.xml,reaction,R0,Ca influx,metaid_0000020,RHEA:18173,octopamine dehydratase activity,1.0,0,ignore
uploaded_model.xml,reaction,R0,Ca influx,metaid_0000020,RHEA:18225,[N-(6-aminohexanoyl)](n) + H2O = 6-aminohexanoate + [N-(6-aminohexanoyl)](n-1),1.0,0,ignore
uploaded_model.xml,reaction,R0,Ca influx,metaid_0000020,RHEA:18321,L-leucine:2-oxoglutarate aminotransferase activity,1.0,0,ignore
uploaded_model.xml,reaction,R0,Ca influx,metaid_0000020,RHEA:18505,lysine dehydrogenase activity,1.0,0,ignore
uploaded_model.xml,reaction,R0,Ca influx,metaid_0000020,RHEA:18697,4-hydroxyphenylpyruvate decarboxylase activity,1.0,0,ignore
uploaded_model.xml,reaction,R0,Ca influx,metaid_0000020,RHEA:18901,N(alpha)-benzyloxycarbonylleucine hydrolase activity,1.0,0,ignore
uploaded_model.xml,reaction,R0,Ca influx,metaid_0000020,RHEA:19357,H(+) + L-proline betaine + NADPH + O2 = formaldehyde + H2O + N-methyl-L-proline + NADP(+),1.0,0,ignore
uploaded_model.xml,reaction,R0,Ca influx,metaid_0000020,RHEA:19437,nicotinate-N-glucosyltransferase activity,1.0,0,ignore
uploaded_model.xml,reaction,R0,Ca influx,metaid_0000020,RHEA:19777,L-pipecolate dehydrogenase activity,1.0,0,ignore
uploaded_model.xml,reaction,R0,Ca influx,metaid_0000020,RHEA:20089,leucine N-acetyltransferase activity,1.0,0,ignore
uploaded_model.xml,reaction,R0,Ca influx,metaid_0000020,RHEA:20241,nicotinate N-methyltransferase activity,1.0,0,ignore
uploaded_model.xml,reaction,R0,Ca influx,metaid_0000020,RHEA:20577,3-(hydroxyamino)phenol mutase activity,1.0,0,ignore
uploaded_model.xml,reaction,R0,Ca influx,metaid_0000020,RHEA:20956,phenylacetate-CoA ligase activity,1.0,0,ignore
uploaded_model.xml,reaction,R0,Ca influx,metaid_0000020,RHEA:21364,6-aminohexanoate-dimer hydrolase activity,1.0,0,ignore
uploaded_model.xml,reaction,R0,Ca influx,metaid_0000020,RHEA:21392,phenylacetaldehyde dehydrogenase activity,1.0,0,ignore
uploaded_model.xml,reaction,R0,Ca influx,metaid_0000020,RHEA:22916,4-hydroxyacetophenone monooxygenase activity,1.0,0,ignore
uploaded_model.xml,reaction,R0,Ca influx,metaid_0000020,RHEA:23600,2-aminohexanoate transaminase activity,1.0,0,ignore
uploaded_model.xml,reaction,R0,Ca influx,metaid_0000020,RHEA:24544,protein-lysine 6-oxidase activity,1.0,0,ignore
uploaded_model.xml,reaction,R0,Ca influx,metaid_0000020,RHEA:24801,L-isoleucine transaminase activity,1.0,0,ignore
uploaded_model.xml,reaction,R0,Ca influx,metaid_0000020,RHEA:25121,(S)-2-amino-6-oxohexanoate = H(+) + H2O + L-1-piperideine-6-carboxylate,1.0,0,ignore
uploaded_model.xml,reaction,R0,Ca influx,metaid_0000020,RHEA:25864,"H2O + N(1)-acetylspermidine + O2 = 4-acetamidobutanal + H2O2 + propane-1,3-diamine",1.0,0,ignore
uploaded_model.xml,reaction,R0,Ca influx,metaid_0000020,RHEA:25972,"N8-acetylspermidine:oxygen oxidoreductase (propane-1,3-diamine-forming) activity",1.0,0,ignore
uploaded_model.xml,reaction,R0,Ca influx,metaid_0000020,RHEA:26023,"apo-beta-carotenoid-14',13'-dioxygenase activity",1.0,0,ignore
uploaded_model.xml,reaction,R0,Ca influx,metaid_0000020,RHEA:27417,2 Fe(III)-[cytochrome] + H2O + nicotinate = 6-hydroxynicotinate + 2 Fe(II)-[cytochrome] + 2 H(+),1.0,0,ignore
uploaded_model.xml,reaction,R0,Ca influx,metaid_0000020,RHEA:27574,(3R)-piperidine-3-carboxamide + H2O = (3R)-piperidine-3-carboxylate + NH4(+),1.0,0,ignore
uploaded_model.xml,reaction,R0,Ca influx,metaid_0000020,RHEA:28022,ATP + holo-[ACP] + octanoate = AMP + diphosphate + octanoyl-[ACP],1.0,0,ignore
uploaded_model.xml,reaction,R0,Ca influx,metaid_0000020,RHEA:28254,(Z)-3-hexen-1-ol acetyltransferase activity,1.0,0,ignore
uploaded_model.xml,reaction,R0,Ca influx,metaid_0000020,RHEA:28602,isoleucine N-monooxygenase (oxime forming) activity,1.0,0,ignore
uploaded_model.xml,reaction,R0,Ca influx,metaid_0000020,RHEA:28731,H(+)(out) + L-leucine(in) = H(+)(in) + L-leucine(out),1.0,0,ignore
uploaded_model.xml,reaction,R0,Ca influx,metaid_0000020,RHEA:29263,L-leucine(in) + Na(+)(in) = L-leucine(out) + Na(+)(out),1.0,0,ignore
uploaded_model.xml,reaction,R0,Ca influx,metaid_0000020,RHEA:29275,L-isoleucine(in) + Na(+)(in) = L-isoleucine(out) + Na(+)(out),1.0,0,ignore
uploaded_model.xml,reaction,R0,Ca influx,metaid_0000020,RHEA:29759,octanoate(in) = octanoate(out),1.0,0,ignore
